# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: M:\ELEC473\Assignment3\MIPS_System_Students_Part_C\MIPS_System.csv
# Generated on: Tue Mar 12 11:19:20 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
HEX3[2],Output,PIN_AA26,6,B6_N1,PIN_AA26,,,,
HEX3[1],Output,PIN_AA25,6,B6_N1,PIN_AA25,,,,
HEX3[0],Output,PIN_Y23,6,B6_N1,PIN_Y23,,,,
HEX4[6],Output,PIN_T3,1,B1_N0,PIN_T3,,,,
HEX4[5],Output,PIN_R6,1,B1_N0,PIN_R6,,,,
HEX4[4],Output,PIN_R7,1,B1_N0,PIN_R7,,,,
HEX4[3],Output,PIN_T4,1,B1_N0,PIN_T4,,,,
HEX4[2],Output,PIN_U2,1,B1_N0,PIN_U2,,,,
HEX4[1],Output,PIN_U1,1,B1_N0,PIN_U1,,,,
HEX4[0],Output,PIN_U9,1,B1_N0,PIN_U9,,,,
HEX5[6],Output,PIN_R3,1,B1_N0,PIN_R3,,,,
HEX5[5],Output,PIN_R4,1,B1_N0,PIN_R4,,,,
HEX5[4],Output,PIN_R5,1,B1_N0,PIN_R5,,,,
HEX5[3],Output,PIN_T9,1,B1_N0,PIN_T9,,,,
HEX5[2],Output,PIN_P7,1,B1_N0,PIN_P7,,,,
HEX5[1],Output,PIN_P6,1,B1_N0,PIN_P6,,,,
HEX5[0],Output,PIN_T2,1,B1_N0,PIN_T2,,,,
HEX6[6],Output,PIN_M4,2,B2_N1,PIN_M4,,,,
HEX6[5],Output,PIN_M5,2,B2_N1,PIN_M5,,,,
HEX6[4],Output,PIN_M3,2,B2_N1,PIN_M3,,,,
HEX6[3],Output,PIN_M2,2,B2_N1,PIN_M2,,,,
HEX6[2],Output,PIN_P3,1,B1_N0,PIN_P3,,,,
HEX6[1],Output,PIN_P4,1,B1_N0,PIN_P4,,,,
HEX6[0],Output,PIN_R2,1,B1_N0,PIN_R2,,,,
HEX7[6],Output,PIN_N9,2,B2_N1,PIN_N9,,,,
HEX7[5],Output,PIN_P9,2,B2_N1,PIN_P9,,,,
HEX7[4],Output,PIN_L7,2,B2_N1,PIN_L7,,,,
HEX7[3],Output,PIN_L6,2,B2_N1,PIN_L6,,,,
HEX7[2],Output,PIN_L9,2,B2_N1,PIN_L9,,,,
HEX7[1],Output,PIN_L2,2,B2_N1,PIN_L2,,,,
HEX7[0],Output,PIN_L3,2,B2_N1,PIN_L3,,,,
KEY[3],Input,PIN_W26,6,B6_N1,PIN_W26,,,,
KEY[2],Input,PIN_P23,6,B6_N0,PIN_P23,,,,
KEY[1],Input,PIN_N23,5,B5_N1,PIN_N23,,,,
KEY[0],Input,PIN_G26,5,B5_N0,PIN_G26,,,,
LEDG[8],Output,PIN_Y12,8,B8_N0,PIN_Y12,,,,
LEDG[7],Output,PIN_Y18,7,B7_N0,PIN_Y18,,,,
LEDG[6],Output,PIN_AA20,7,B7_N0,PIN_AA20,,,,
LEDG[5],Output,PIN_U17,7,B7_N0,PIN_U17,,,,
LEDG[4],Output,PIN_U18,7,B7_N0,PIN_U18,,,,
LEDG[3],Output,PIN_V18,7,B7_N0,PIN_V18,,,,
LEDG[2],Output,PIN_W19,7,B7_N0,PIN_W19,,,,
LEDG[1],Output,PIN_AF22,7,B7_N0,PIN_AF22,,,,
LEDG[0],Output,PIN_AE22,7,B7_N0,PIN_AE22,,,,
LEDR[17],Output,PIN_AD12,8,B8_N0,PIN_AD12,,,,
LEDR[16],Output,PIN_AE12,8,B8_N0,PIN_AE12,,,,
LEDR[15],Output,PIN_AE13,8,B8_N0,PIN_AE13,,,,
LEDR[14],Output,PIN_AF13,8,B8_N0,PIN_AF13,,,,
LEDR[13],Output,PIN_AE15,7,B7_N1,PIN_AE15,,,,
LEDR[12],Output,PIN_AD15,7,B7_N1,PIN_AD15,,,,
LEDR[11],Output,PIN_AC14,7,B7_N1,PIN_AC14,,,,
LEDR[10],Output,PIN_AA13,7,B7_N1,PIN_AA13,,,,
LEDR[9],Output,PIN_Y13,7,B7_N1,PIN_Y13,,,,
LEDR[8],Output,PIN_AA14,7,B7_N1,PIN_AA14,,,,
LEDR[7],Output,PIN_AC21,7,B7_N0,PIN_AC21,,,,
LEDR[6],Output,PIN_AD21,7,B7_N0,PIN_AD21,,,,
LEDR[5],Output,PIN_AD23,7,B7_N0,PIN_AD23,,,,
LEDR[4],Output,PIN_AD22,7,B7_N0,PIN_AD22,,,,
LEDR[3],Output,PIN_AC22,7,B7_N0,PIN_AC22,,,,
LEDR[2],Output,PIN_AB21,7,B7_N0,PIN_AB21,,,,
LEDR[1],Output,PIN_AF23,7,B7_N0,PIN_AF23,,,,
LEDR[0],Output,PIN_AE23,7,B7_N0,PIN_AE23,,,,
SW[17],Input,PIN_V2,1,B1_N0,PIN_V2,,,,
SW[16],Input,PIN_V1,1,B1_N0,PIN_V1,,,,
SW[15],Input,PIN_U4,1,B1_N0,PIN_U4,,,,
SW[14],Input,PIN_U3,1,B1_N0,PIN_U3,,,,
SW[13],Input,PIN_T7,1,B1_N0,PIN_T7,,,,
SW[12],Input,PIN_P2,1,B1_N0,PIN_P2,,,,
SW[11],Input,PIN_P1,1,B1_N0,PIN_P1,,,,
SW[10],Input,PIN_N1,2,B2_N1,PIN_N1,,,,
SW[9],Input,PIN_A13,4,B4_N1,PIN_A13,,,,
SW[8],Input,PIN_B13,4,B4_N1,PIN_B13,,,,
SW[7],Input,PIN_C13,3,B3_N0,PIN_C13,,,,
SW[6],Input,PIN_AC13,8,B8_N0,PIN_AC13,,,,
SW[5],Input,PIN_AD13,8,B8_N0,PIN_AD13,,,,
SW[4],Input,PIN_AF14,7,B7_N1,PIN_AF14,,,,
SW[3],Input,PIN_AE14,7,B7_N1,PIN_AE14,,,,
SW[2],Input,PIN_P25,6,B6_N0,PIN_P25,,,,
SW[1],Input,PIN_N26,5,B5_N1,PIN_N26,,,,
SW[0],Input,PIN_N25,5,B5_N1,PIN_N25,,,,
altera_reserved_tck,Input,,,,PIN_M6,,,,
altera_reserved_tdi,Input,,,,PIN_M8,,,,
altera_reserved_tdo,Output,,,,PIN_M7,,,,
altera_reserved_tms,Input,,,,PIN_L8,,,,
DRAM_ADDR[0],Unknown,PIN_T6,1,B1_N0,,,,,
DRAM_ADDR[1],Unknown,PIN_V4,1,B1_N0,,,,,
DRAM_ADDR[2],Unknown,PIN_V3,1,B1_N0,,,,,
DRAM_ADDR[3],Unknown,PIN_W2,1,B1_N0,,,,,
DRAM_ADDR[4],Unknown,PIN_W1,1,B1_N0,,,,,
DRAM_ADDR[5],Unknown,PIN_U6,1,B1_N1,,,,,
DRAM_ADDR[6],Unknown,PIN_U7,1,B1_N1,,,,,
DRAM_ADDR[7],Unknown,PIN_U5,1,B1_N1,,,,,
DRAM_ADDR[8],Unknown,PIN_W4,1,B1_N1,,,,,
DRAM_ADDR[9],Unknown,PIN_W3,1,B1_N1,,,,,
DRAM_ADDR[10],Unknown,PIN_Y1,1,B1_N1,,,,,
DRAM_ADDR[11],Unknown,PIN_V5,1,B1_N1,,,,,
DRAM_BA_0,Unknown,PIN_AE2,1,B1_N1,,,,,
DRAM_BA_1,Unknown,PIN_AE3,1,B1_N1,,,,,
DRAM_CAS_N,Unknown,PIN_AB3,1,B1_N1,,,,,
DRAM_CKE,Unknown,PIN_AA6,1,B1_N1,,,,,
DRAM_CLK,Unknown,PIN_AA7,1,B1_N1,,,,,
DRAM_CS_N,Unknown,PIN_AC3,1,B1_N1,,,,,
DRAM_DQ[0],Unknown,PIN_V6,1,B1_N1,,,,,
DRAM_DQ[1],Unknown,PIN_AA2,1,B1_N1,,,,,
DRAM_DQ[2],Unknown,PIN_AA1,1,B1_N1,,,,,
DRAM_DQ[3],Unknown,PIN_Y3,1,B1_N1,,,,,
DRAM_DQ[4],Unknown,PIN_Y4,1,B1_N1,,,,,
DRAM_DQ[5],Unknown,PIN_R8,1,B1_N1,,,,,
DRAM_DQ[6],Unknown,PIN_T8,1,B1_N1,,,,,
DRAM_DQ[7],Unknown,PIN_V7,1,B1_N1,,,,,
DRAM_DQ[8],Unknown,PIN_W6,1,B1_N1,,,,,
DRAM_DQ[9],Unknown,PIN_AB2,1,B1_N1,,,,,
DRAM_DQ[10],Unknown,PIN_AB1,1,B1_N1,,,,,
DRAM_DQ[11],Unknown,PIN_AA4,1,B1_N1,,,,,
DRAM_DQ[12],Unknown,PIN_AA3,1,B1_N1,,,,,
DRAM_DQ[13],Unknown,PIN_AC2,1,B1_N1,,,,,
DRAM_DQ[14],Unknown,PIN_AC1,1,B1_N1,,,,,
DRAM_DQ[15],Unknown,PIN_AA5,1,B1_N1,,,,,
DRAM_LDQM,Unknown,PIN_AD2,1,B1_N1,,,,,
DRAM_UDQM,Unknown,PIN_Y5,1,B1_N1,,,,,
DRAM_RAS_N,Unknown,PIN_AB4,1,B1_N1,,,,,
DRAM_WE_N,Unknown,PIN_AD3,1,B1_N1,,,,,
FL_ADDR[0],Unknown,PIN_AC18,7,B7_N0,,,,,
FL_ADDR[1],Unknown,PIN_AB18,7,B7_N0,,,,,
FL_ADDR[2],Unknown,PIN_AE19,7,B7_N1,,,,,
FL_ADDR[3],Unknown,PIN_AF19,7,B7_N1,,,,,
FL_ADDR[4],Unknown,PIN_AE18,7,B7_N1,,,,,
FL_ADDR[5],Unknown,PIN_AF18,7,B7_N1,,,,,
FL_ADDR[6],Unknown,PIN_Y16,7,B7_N1,,,,,
FL_ADDR[7],Unknown,PIN_AA16,7,B7_N1,,,,,
FL_ADDR[8],Unknown,PIN_AD17,7,B7_N1,,,,,
FL_ADDR[9],Unknown,PIN_AC17,7,B7_N1,,,,,
FL_ADDR[10],Unknown,PIN_AE17,7,B7_N1,,,,,
FL_ADDR[11],Unknown,PIN_AF17,7,B7_N1,,,,,
FL_ADDR[12],Unknown,PIN_W16,7,B7_N1,,,,,
FL_ADDR[13],Unknown,PIN_W15,7,B7_N1,,,,,
FL_ADDR[14],Unknown,PIN_AC16,7,B7_N1,,,,,
FL_ADDR[15],Unknown,PIN_AD16,7,B7_N1,,,,,
FL_ADDR[16],Unknown,PIN_AE16,7,B7_N1,,,,,
FL_ADDR[17],Unknown,PIN_AC15,7,B7_N1,,,,,
FL_ADDR[18],Unknown,PIN_AB15,7,B7_N1,,,,,
FL_ADDR[19],Unknown,PIN_AA15,7,B7_N1,,,,,
FL_ADDR[20],Unknown,PIN_Y15,7,B7_N1,,,,,
FL_ADDR[21],Unknown,PIN_Y14,7,B7_N1,,,,,
FL_CE_N,Unknown,PIN_V17,7,B7_N0,,,,,
FL_OE_N,Unknown,PIN_W17,7,B7_N0,,,,,
FL_DQ[0],Unknown,PIN_AD19,7,B7_N0,,,,,
FL_DQ[1],Unknown,PIN_AC19,7,B7_N0,,,,,
FL_DQ[2],Unknown,PIN_AF20,7,B7_N0,,,,,
FL_DQ[3],Unknown,PIN_AE20,7,B7_N0,,,,,
FL_DQ[4],Unknown,PIN_AB20,7,B7_N0,,,,,
FL_DQ[5],Unknown,PIN_AC20,7,B7_N0,,,,,
FL_DQ[6],Unknown,PIN_AF21,7,B7_N0,,,,,
FL_DQ[7],Unknown,PIN_AE21,7,B7_N0,,,,,
FL_RST_N,Unknown,PIN_AA18,7,B7_N0,,,,,
FL_WE_N,Unknown,PIN_AA17,7,B7_N0,,,,,
CLOCK_27,Unknown,PIN_D13,3,B3_N0,,,,,
EXT_CLOCK,Unknown,PIN_P26,6,B6_N0,,,,,
PS2_CLK,Unknown,PIN_D26,5,B5_N0,,,,,
PS2_DAT,Unknown,PIN_C24,5,B5_N0,,,,,
UART_RXD,Unknown,PIN_C25,5,B5_N0,,,,,
UART_TXD,Unknown,PIN_B25,5,B5_N0,,,,,
LCD_RW,Unknown,PIN_K4,2,B2_N1,,,,,
LCD_EN,Unknown,PIN_K3,2,B2_N1,,,,,
LCD_RS,Unknown,PIN_K1,2,B2_N1,,,,,
LCD_DATA[0],Unknown,PIN_J1,2,B2_N1,,,,,
LCD_DATA[1],Unknown,PIN_J2,2,B2_N1,,,,,
LCD_DATA[2],Unknown,PIN_H1,2,B2_N1,,,,,
LCD_DATA[3],Unknown,PIN_H2,2,B2_N1,,,,,
LCD_DATA[4],Unknown,PIN_J4,2,B2_N1,,,,,
LCD_DATA[5],Unknown,PIN_J3,2,B2_N1,,,,,
LCD_DATA[6],Unknown,PIN_H4,2,B2_N1,,,,,
LCD_DATA[7],Unknown,PIN_H3,2,B2_N1,,,,,
LCD_ON,Unknown,PIN_L4,2,B2_N1,,,,,
LCD_BLON,Unknown,PIN_K2,2,B2_N1,,,,,
SRAM_ADDR[0],Unknown,PIN_AE4,8,B8_N1,,,,,
SRAM_ADDR[1],Unknown,PIN_AF4,8,B8_N1,,,,,
SRAM_ADDR[2],Unknown,PIN_AC5,8,B8_N1,,,,,
SRAM_ADDR[3],Unknown,PIN_AC6,8,B8_N1,,,,,
SRAM_ADDR[4],Unknown,PIN_AD4,8,B8_N1,,,,,
SRAM_ADDR[5],Unknown,PIN_AD5,8,B8_N1,,,,,
SRAM_ADDR[6],Unknown,PIN_AE5,8,B8_N1,,,,,
SRAM_ADDR[7],Unknown,PIN_AF5,8,B8_N1,,,,,
SRAM_ADDR[8],Unknown,PIN_AD6,8,B8_N1,,,,,
SRAM_ADDR[9],Unknown,PIN_AD7,8,B8_N1,,,,,
SRAM_ADDR[10],Unknown,PIN_V10,8,B8_N1,,,,,
SRAM_ADDR[11],Unknown,PIN_V9,8,B8_N1,,,,,
SRAM_ADDR[12],Unknown,PIN_AC7,8,B8_N1,,,,,
SRAM_ADDR[13],Unknown,PIN_W8,8,B8_N1,,,,,
SRAM_ADDR[14],Unknown,PIN_W10,8,B8_N1,,,,,
SRAM_ADDR[15],Unknown,PIN_Y10,8,B8_N1,,,,,
SRAM_ADDR[16],Unknown,PIN_AB8,8,B8_N1,,,,,
SRAM_ADDR[17],Unknown,PIN_AC8,8,B8_N1,,,,,
SRAM_DQ[0],Unknown,PIN_AD8,8,B8_N1,,,,,
SRAM_DQ[1],Unknown,PIN_AE6,8,B8_N1,,,,,
SRAM_DQ[2],Unknown,PIN_AF6,8,B8_N1,,,,,
SRAM_DQ[3],Unknown,PIN_AA9,8,B8_N1,,,,,
SRAM_DQ[4],Unknown,PIN_AA10,8,B8_N1,,,,,
SRAM_DQ[5],Unknown,PIN_AB10,8,B8_N1,,,,,
SRAM_DQ[6],Unknown,PIN_AA11,8,B8_N1,,,,,
SRAM_DQ[7],Unknown,PIN_Y11,8,B8_N1,,,,,
SRAM_DQ[8],Unknown,PIN_AE7,8,B8_N1,,,,,
SRAM_DQ[9],Unknown,PIN_AF7,8,B8_N1,,,,,
SRAM_DQ[10],Unknown,PIN_AE8,8,B8_N0,,,,,
SRAM_DQ[11],Unknown,PIN_AF8,8,B8_N0,,,,,
SRAM_DQ[12],Unknown,PIN_W11,8,B8_N0,,,,,
SRAM_DQ[13],Unknown,PIN_W12,8,B8_N0,,,,,
SRAM_DQ[14],Unknown,PIN_AC9,8,B8_N0,,,,,
SRAM_DQ[15],Unknown,PIN_AC10,8,B8_N0,,,,,
SRAM_WE_N,Unknown,PIN_AE10,8,B8_N0,,,,,
SRAM_OE_N,Unknown,PIN_AD10,8,B8_N0,,,,,
SRAM_UB_N,Unknown,PIN_AF9,8,B8_N0,,,,,
SRAM_LB_N,Unknown,PIN_AE9,8,B8_N0,,,,,
SRAM_CE_N,Unknown,PIN_AC11,8,B8_N0,,,,,
OTG_ADDR[0],Unknown,PIN_K7,2,B2_N0,,,,,
OTG_ADDR[1],Unknown,PIN_F2,2,B2_N0,,,,,
OTG_CS_N,Unknown,PIN_F1,2,B2_N0,,,,,
OTG_RD_N,Unknown,PIN_G2,2,B2_N0,,,,,
OTG_WR_N,Unknown,PIN_G1,2,B2_N0,,,,,
OTG_RST_N,Unknown,PIN_G5,2,B2_N0,,,,,
OTG_DATA[0],Unknown,PIN_F4,2,B2_N0,,,,,
OTG_DATA[1],Unknown,PIN_D2,2,B2_N0,,,,,
OTG_DATA[2],Unknown,PIN_D1,2,B2_N0,,,,,
OTG_DATA[3],Unknown,PIN_F7,2,B2_N0,,,,,
OTG_DATA[4],Unknown,PIN_J5,2,B2_N0,,,,,
OTG_DATA[5],Unknown,PIN_J8,2,B2_N0,,,,,
OTG_DATA[6],Unknown,PIN_J7,2,B2_N0,,,,,
OTG_DATA[7],Unknown,PIN_H6,2,B2_N0,,,,,
OTG_DATA[8],Unknown,PIN_E2,2,B2_N0,,,,,
OTG_DATA[9],Unknown,PIN_E1,2,B2_N0,,,,,
OTG_DATA[10],Unknown,PIN_K6,2,B2_N0,,,,,
OTG_DATA[11],Unknown,PIN_K5,2,B2_N0,,,,,
OTG_DATA[12],Unknown,PIN_G4,2,B2_N0,,,,,
OTG_DATA[13],Unknown,PIN_G3,2,B2_N0,,,,,
OTG_DATA[14],Unknown,PIN_J6,2,B2_N0,,,,,
OTG_DATA[15],Unknown,PIN_K8,2,B2_N0,,,,,
OTG_INT0,Unknown,PIN_B3,2,B2_N0,,,,,
OTG_INT1,Unknown,PIN_C3,2,B2_N0,,,,,
OTG_DACK0_N,Unknown,PIN_C2,2,B2_N0,,,,,
OTG_DACK1_N,Unknown,PIN_B2,2,B2_N0,,,,,
OTG_DREQ0,Unknown,PIN_F6,2,B2_N0,,,,,
OTG_DREQ1,Unknown,PIN_E5,2,B2_N0,,,,,
OTG_FSPEED,Unknown,PIN_F3,2,B2_N0,,,,,
OTG_LSPEED,Unknown,PIN_G6,2,B2_N0,,,,,
TDI,Unknown,PIN_B14,4,B4_N1,,,,,
TCS,Unknown,PIN_A14,4,B4_N1,,,,,
TCK,Unknown,PIN_D14,4,B4_N1,,,,,
TDO,Unknown,PIN_F14,4,B4_N1,,,,,
TD_RESET,Unknown,PIN_C4,3,B3_N1,,,,,
VGA_R[0],Unknown,PIN_C8,3,B3_N1,,,,,
VGA_R[1],Unknown,PIN_F10,3,B3_N1,,,,,
VGA_R[2],Unknown,PIN_G10,3,B3_N1,,,,,
VGA_R[3],Unknown,PIN_D9,3,B3_N1,,,,,
VGA_R[4],Unknown,PIN_C9,3,B3_N1,,,,,
VGA_R[5],Unknown,PIN_A8,3,B3_N0,,,,,
VGA_R[6],Unknown,PIN_H11,3,B3_N0,,,,,
VGA_R[7],Unknown,PIN_H12,3,B3_N0,,,,,
VGA_R[8],Unknown,PIN_F11,3,B3_N0,,,,,
VGA_R[9],Unknown,PIN_E10,3,B3_N0,,,,,
VGA_G[0],Unknown,PIN_B9,3,B3_N0,,,,,
VGA_G[1],Unknown,PIN_A9,3,B3_N0,,,,,
VGA_G[2],Unknown,PIN_C10,3,B3_N0,,,,,
VGA_G[3],Unknown,PIN_D10,3,B3_N0,,,,,
VGA_G[4],Unknown,PIN_B10,3,B3_N0,,,,,
VGA_G[5],Unknown,PIN_A10,3,B3_N0,,,,,
VGA_G[6],Unknown,PIN_G11,3,B3_N0,,,,,
VGA_G[7],Unknown,PIN_D11,3,B3_N0,,,,,
VGA_G[8],Unknown,PIN_E12,3,B3_N0,,,,,
VGA_G[9],Unknown,PIN_D12,3,B3_N0,,,,,
VGA_B[0],Unknown,PIN_J13,3,B3_N0,,,,,
VGA_B[1],Unknown,PIN_J14,3,B3_N0,,,,,
VGA_B[2],Unknown,PIN_F12,3,B3_N0,,,,,
VGA_B[3],Unknown,PIN_G12,3,B3_N0,,,,,
VGA_B[4],Unknown,PIN_J10,3,B3_N0,,,,,
VGA_B[5],Unknown,PIN_J11,3,B3_N0,,,,,
VGA_B[6],Unknown,PIN_C11,3,B3_N0,,,,,
VGA_B[7],Unknown,PIN_B11,3,B3_N0,,,,,
VGA_B[8],Unknown,PIN_C12,3,B3_N0,,,,,
VGA_B[9],Unknown,PIN_B12,3,B3_N0,,,,,
VGA_CLK,Unknown,PIN_B8,3,B3_N0,,,,,
VGA_BLANK,Unknown,PIN_D6,3,B3_N1,,,,,
VGA_HS,Unknown,PIN_A7,3,B3_N1,,,,,
VGA_VS,Unknown,PIN_D8,3,B3_N1,,,,,
VGA_SYNC,Unknown,PIN_B7,3,B3_N1,,,,,
I2C_SCLK,Unknown,PIN_A6,3,B3_N1,,,,,
I2C_SDAT,Unknown,PIN_B6,3,B3_N1,,,,,
TD_DATA[0],Unknown,PIN_J9,3,B3_N1,,,,,
TD_DATA[1],Unknown,PIN_E8,3,B3_N1,,,,,
TD_DATA[2],Unknown,PIN_H8,3,B3_N1,,,,,
TD_DATA[3],Unknown,PIN_H10,3,B3_N1,,,,,
TD_DATA[4],Unknown,PIN_G9,3,B3_N1,,,,,
TD_DATA[5],Unknown,PIN_F9,3,B3_N1,,,,,
TD_DATA[6],Unknown,PIN_D7,3,B3_N1,,,,,
TD_DATA[7],Unknown,PIN_C7,3,B3_N1,,,,,
TD_HS,Unknown,PIN_D5,3,B3_N1,,,,,
TD_VS,Unknown,PIN_K9,3,B3_N1,,,,,
AUD_ADCLRCK,Unknown,PIN_C5,3,B3_N1,,,,,
AUD_ADCDAT,Unknown,PIN_B5,3,B3_N1,,,,,
AUD_DACLRCK,Unknown,PIN_C6,3,B3_N1,,,,,
AUD_DACDAT,Unknown,PIN_A4,3,B3_N1,,,,,
AUD_XCK,Unknown,PIN_A5,3,B3_N1,,,,,
AUD_BCLK,Unknown,PIN_B4,3,B3_N1,,,,,
ENET_DATA[0],Unknown,PIN_D17,4,B4_N1,,,,,
ENET_DATA[1],Unknown,PIN_C17,4,B4_N1,,,,,
ENET_DATA[2],Unknown,PIN_B18,4,B4_N1,,,,,
ENET_DATA[3],Unknown,PIN_A18,4,B4_N1,,,,,
ENET_DATA[4],Unknown,PIN_B17,4,B4_N1,,,,,
ENET_DATA[5],Unknown,PIN_A17,4,B4_N1,,,,,
ENET_DATA[6],Unknown,PIN_B16,4,B4_N1,,,,,
ENET_DATA[7],Unknown,PIN_B15,4,B4_N1,,,,,
ENET_DATA[8],Unknown,PIN_B20,4,B4_N0,,,,,
ENET_DATA[9],Unknown,PIN_A20,4,B4_N0,,,,,
ENET_DATA[10],Unknown,PIN_C19,4,B4_N0,,,,,
ENET_DATA[11],Unknown,PIN_D19,4,B4_N0,,,,,
ENET_DATA[12],Unknown,PIN_B19,4,B4_N0,,,,,
ENET_DATA[13],Unknown,PIN_A19,4,B4_N0,,,,,
ENET_DATA[14],Unknown,PIN_E18,4,B4_N0,,,,,
ENET_DATA[15],Unknown,PIN_D18,4,B4_N0,,,,,
ENET_CLK,Unknown,PIN_B24,5,B5_N0,,,,,
ENET_CMD,Unknown,PIN_A21,4,B4_N0,,,,,
ENET_CS_N,Unknown,PIN_A23,4,B4_N0,,,,,
ENET_INT,Unknown,PIN_B21,4,B4_N0,,,,,
ENET_RD_N,Unknown,PIN_A22,4,B4_N0,,,,,
ENET_WR_N,Unknown,PIN_B22,4,B4_N0,,,,,
ENET_RST_N,Unknown,PIN_B23,4,B4_N0,,,,,
IRDA_TXD,Unknown,PIN_AE24,6,B6_N1,,,,,
IRDA_RXD,Unknown,PIN_AE25,6,B6_N1,,,,,
SD_DAT,Unknown,PIN_AD24,6,B6_N1,,,,,
SD_DAT3,Unknown,PIN_AC23,6,B6_N1,,,,,
SD_CMD,Unknown,PIN_Y21,6,B6_N1,,,,,
SD_CLK,Unknown,PIN_AD25,6,B6_N1,,,,,
GPIO_0[0],Unknown,PIN_D25,5,B5_N0,,,,,
GPIO_0[1],Unknown,PIN_J22,5,B5_N0,,,,,
GPIO_0[2],Unknown,PIN_E26,5,B5_N0,,,,,
GPIO_0[3],Unknown,PIN_E25,5,B5_N0,,,,,
GPIO_0[4],Unknown,PIN_F24,5,B5_N0,,,,,
GPIO_0[5],Unknown,PIN_F23,5,B5_N0,,,,,
GPIO_0[6],Unknown,PIN_J21,5,B5_N0,,,,,
GPIO_0[7],Unknown,PIN_J20,5,B5_N0,,,,,
GPIO_0[8],Unknown,PIN_F25,5,B5_N0,,,,,
GPIO_0[9],Unknown,PIN_F26,5,B5_N0,,,,,
GPIO_0[10],Unknown,PIN_N18,5,B5_N0,,,,,
GPIO_0[11],Unknown,PIN_P18,5,B5_N0,,,,,
GPIO_0[12],Unknown,PIN_G23,5,B5_N0,,,,,
